Dataset,Approach,Sparsify,Data Uploaded,Goal Accuracy
FEMNIST,Threshold,0.005 (~1.9%),1600229.667,75
FEMNIST,Threshold,0.007 (~0.8%),,75
FEMNIST,Threshold,0.0085 (~0.5%),,75
FEMNIST,Threshold,0.01 (~0.4%),,75
FEMNIST,Top-k,1%,,75
FEMNIST,Top-k,10%,4728704,75
FEMNIST,Top-k,100%,59110080,75
FEMNIST,Top-k,3%,1773280,75
FEMNIST,Top-k,30%,13299720,75
FEMNIST,Top-k,5%,2364288,75
FEMNIST,Top-k,50%,26599536,75
CIFAR-10,Random,1%,,80
CIFAR-10,Random,10%,,80
CIFAR-10,Random,100%,,80
CIFAR-10,Random,3%,,80
CIFAR-10,Random,30%,,80
CIFAR-10,Random,5%,,80
CIFAR-10,Random,50%,,80
CIFAR-10,Threshold,0 (100%),,80
CIFAR-10,Threshold,0.001 (~24.5%),,80
CIFAR-10,Threshold,0.003 (~3.6%),,80
CIFAR-10,Threshold,0.005 (~1.2%),,80
CIFAR-10,Threshold,0.007 (~0.6%),,80
CIFAR-10,Threshold,0.0085 (~0.4%),,80
CIFAR-10,Threshold,0.01 (~0.2%),,80
CIFAR-10,Top-k,1%,,80
CIFAR-10,Top-k,10%,,80
CIFAR-10,Top-k,100%,,80
CIFAR-10,Top-k,3%,,80
CIFAR-10,Top-k,30%,,80
CIFAR-10,Top-k,5%,,80
CIFAR-10,Top-k,50%,,80
FEMNIST,Random,1%,,80
FEMNIST,Random,10%,,80
FEMNIST,Random,100%,,80
FEMNIST,Random,3%,,80
FEMNIST,Random,30%,,80
FEMNIST,Random,5%,,80
FEMNIST,Random,50%,,80
FEMNIST,Threshold,0 (100%),,80
FEMNIST,Threshold,0.001 (~29.4%),19996646.71,80
FEMNIST,Threshold,0.003 (~5.6%),,80
FEMNIST,Threshold,0.005 (~1.9%),,80
FEMNIST,Threshold,0.007 (~0.8%),,80
FEMNIST,Threshold,0.0085 (~0.5%),,80
FEMNIST,Threshold,0.01 (~0.4%),,80
FEMNIST,Top-k,1%,,80
FEMNIST,Top-k,10%,7388600,80
FEMNIST,Top-k,100%,,80
FEMNIST,Top-k,3%,,80
FEMNIST,Top-k,30%,19506256,80
FEMNIST,Top-k,5%,,80
FEMNIST,Top-k,50%,41377056,80
